BOARD,N_THREADS,EXEC_TIME
1,1,1.0263450145721436
1,1,1.0209922790527344
1,1,1.0199439525604248
1,1,1.0257925987243652
1,1,1.0241565704345703
1,2,1.0227360725402832
1,2,1.0109844207763672
1,2,1.0223593711853027
1,2,1.0222222805023193
1,2,1.0308773517608643
1,4,1.0256445407867432
1,4,1.0263044834136963
1,4,1.0230028629302979
1,4,1.0285158157348633
1,4,1.0240943431854248
1,8,1.1690199375152588
1,8,1.0992333889007568
1,8,1.0683438777923584
1,8,1.130047082901001
1,8,1.0252301692962646
1,16,1.1311416625976562
1,16,1.0324347019195557
1,16,1.0500619411468506
1,16,1.0906023979187012
1,16,1.0251457691192627
2,1,1.0326220989227295
2,1,1.0299928188323975
2,1,1.0161662101745605
2,1,1.029608964920044
2,1,1.0293328762054443
2,2,1.0229179859161377
2,2,1.0287206172943115
2,2,1.0228683948516846
2,2,1.02205491065979
2,2,1.0192055702209473
2,4,1.0252189636230469
2,4,1.0233206748962402
2,4,1.021388292312622
2,4,1.0300495624542236
2,4,1.027362585067749
2,8,1.0272412300109863
2,8,1.0276477336883545
2,8,1.0263569355010986
2,8,1.0234735012054443
2,8,1.0319581031799316
2,16,1.0421369075775146
2,16,1.0462710857391357
2,16,1.0351452827453613
2,16,1.077683448791504
2,16,1.0621838569641113
3,1,1.023510456085205
3,1,1.0151288509368896
3,1,1.026989459991455
3,1,1.0228970050811768
3,1,1.0297536849975586
3,2,1.0242154598236084
3,2,1.0310134887695312
3,2,1.0240416526794434
3,2,1.0371127128601074
3,2,1.0275893211364746
3,4,1.0295031070709229
3,4,1.0269861221313477
3,4,1.0188205242156982
3,4,1.0230414867401123
3,4,1.024695873260498
3,8,1.072516679763794
3,8,1.1593215465545654
3,8,1.019836187362671
3,8,1.0411808490753174
3,8,1.0306980609893799
3,16,1.0861542224884033
3,16,1.0480945110321045
3,16,1.0783872604370117
3,16,1.0450739860534668
3,16,1.0380196571350098
4,1,1.026787519454956
4,1,1.0295295715332031
4,1,1.0229063034057617
4,1,1.0155713558197021
4,1,1.0122144222259521
4,2,1.0137882232666016
4,2,1.0187740325927734
4,2,1.0163593292236328
4,2,1.0251045227050781
4,2,1.0235581398010254
4,4,1.0140788555145264
4,4,1.0186808109283447
4,4,1.0243067741394043
4,4,1.0227131843566895
4,4,1.0241451263427734
4,8,1.0448827743530273
4,8,1.0272572040557861
4,8,1.0524828433990479
4,8,1.034024953842163
4,8,1.0303499698638916
4,16,1.030306100845337
4,16,1.0335071086883545
4,16,1.0355486869812012
4,16,1.0433073043823242
4,16,1.0347740650177002
5,1,1.0250260829925537
5,1,1.015411138534546
5,1,1.0301077365875244
5,1,1.0295672416687012
5,1,1.0301299095153809
5,2,1.025533676147461
5,2,1.0322973728179932
5,2,1.0179557800292969
5,2,1.026728868484497
5,2,1.0243690013885498
5,4,1.023393154144287
5,4,1.0100517272949219
5,4,1.023343801498413
5,4,1.0232353210449219
5,4,1.0220153331756592
5,8,1.0632178783416748
5,8,1.0243422985076904
5,8,1.0217170715332031
5,8,1.050978422164917
5,8,1.0238831043243408
5,16,1.0430455207824707
5,16,1.063978910446167
5,16,1.05723237991333
5,16,1.045323133468628
5,16,1.0422592163085938
6,1,1.022953748703003
6,1,1.023319959640503
6,1,1.0137462615966797
6,1,1.029155969619751
6,1,1.0228996276855469
6,2,1.0237717628479004
6,2,1.0108003616333008
6,2,1.0240304470062256
6,2,1.0283079147338867
6,2,1.0250680446624756
6,4,1.0254132747650146
6,4,1.023414134979248
6,4,1.0236029624938965
6,4,1.0120139122009277
6,4,1.0218169689178467
6,8,1.0242490768432617
6,8,1.0247037410736084
6,8,1.0141654014587402
6,8,1.0247576236724854
6,8,1.0543622970581055
6,16,1.0483503341674805
6,16,1.0339362621307373
6,16,1.0483405590057373
6,16,1.039646863937378
6,16,1.0416498184204102
7,1,1.0222632884979248
7,1,1.0190699100494385
7,1,1.030212640762329
7,1,1.0327551364898682
7,1,1.0290989875793457
7,2,1.0204253196716309
7,2,1.0290069580078125
7,2,1.0209689140319824
7,2,1.0290629863739014
7,2,1.031329870223999
7,4,1.0125324726104736
7,4,1.0223824977874756
7,4,1.026240587234497
7,4,1.0264251232147217
7,4,1.025824785232544
7,8,1.042205810546875
7,8,1.032106637954712
7,8,1.0358531475067139
7,8,1.031191110610962
7,8,1.0288527011871338
7,16,1.0453860759735107
7,16,1.0434393882751465
7,16,1.0417616367340088
7,16,1.0435020923614502
7,16,1.0388848781585693
8,1,1.0310072898864746
8,1,1.0376131534576416
8,1,1.0329315662384033
8,1,1.021263599395752
8,1,1.0447580814361572
8,2,1.0397839546203613
8,2,1.036475419998169
8,2,1.0308470726013184
8,2,1.0260367393493652
8,2,1.0411732196807861
8,4,1.024946689605713
8,4,1.034482717514038
8,4,1.0413663387298584
8,4,1.024329662322998
8,4,1.039358377456665
8,8,1.0344476699829102
8,8,1.0404243469238281
8,8,1.0307815074920654
8,8,1.0326526165008545
8,8,1.0290400981903076
8,16,1.0402019023895264
8,16,1.0437493324279785
8,16,1.0632634162902832
8,16,1.0361623764038086
8,16,1.0393118858337402
9,1,1.0299758911132812
9,1,1.0293262004852295
9,1,1.029855728149414
9,1,1.0291187763214111
9,1,1.0259199142456055
9,2,1.0289905071258545
9,2,1.018897533416748
9,2,1.02984619140625
9,2,1.0187017917633057
